;Startup Name;Funding Date;Founding Date;City;Industry/Vertical;Sub-Vertical;Founders;Investors;Amount(in USD);Investment Stage
0;SaScan;01/03/2020;;Bangalore;Healthcare;Cancer diagnostics startup;Subhash Narayanan;Unicorn India ventures;Undisclosed;
1;Lido Learning;01/03/2020;;Mumbai;Edtech;Online teaching service;Sahil Sheth;Pecus Capital, Madhur Deora;$3,000,000;
2;Nimesa;01/03/2020;2018;Bangalore;SaaS;Cloud data managemnt solutions enterprise;Tapesh Goyal, Rajesh Vaidhyanathan;Ideaspring capital;Undisclosed;
3;Design X;01/03/2020;;Noida;IoT;Builds IoT based products;Preet Arjun Singh;ThinkNext LLC;$200,000;Seed Round
4;Driftly Electric;01/03/2020;;Bangalore;Automobile;Electric vehicle startup;Sneha Roy;MG Motor India;Undisclosed;
5;Imstrong;01/03/2020;2019;Bangalore;Fitness;It is an online and live video-streaming platform that allows trainers and fitness enthusiasts to connect and engage in interactive online classes.;Dilip Kumar, Selvan Thamarai, Deepti Nair;Rainmatter;$400,000;Seed round
6;Craftsvilla;01/03/2020;;Mumbai;Marketplace;Online marketplace for ethnic wear;Monica Gupta. Manoj Gupta;Supera Investments;$3,900,000;
7;Rupifi;01/03/2020;2020;Bangalore;Fintech;Offers financial products for SMEs;Anubhav Jain, Ankit Singh, Jawaid Iqbal;Ashneer Grover, Kunal Shah, Ramakant Sharma;Undisclosed;Pre seed round
8;SnackAmor;01/03/2020;;Mumbai;Food;It offers various healthy snacks;Deepak Grover;Undisclosed;Undisclosed;Seed round
9;CoinDCX;01/03/2020;;;Fintech;A cryptocurrency trading platform;Sumit Gupta;Polychain Capital, Bain Capital Ventures, HDR Group;$3,000,000;Series A
10;NuNu TV;01/03/2020;;;Media;Kids-focussed Youtube channel;;Risers Accelerators;$670,000;
11;Excess2Sell;01/03/2020;;Mumbai;Ecommerce;B2B Marketplace for Overstock & Surplus Inventory;Rajan Sharma;Gautham Madhavan;$1,000,000;
12;Pitstop;01/03/2020;;Bangalore;Automobile;Doorstep car service;Mihir Mohan mishra;TPG-backed Group Landmark;$2,500,000;Series A
13;Univariety;01/03/2020;2015;Hyderabad;Edtech;Online marketplace that provides career counselling and college guidance;Jaideep Gupta;Info Edge;$1,100,000;
14;Peel Works;01/03/2020;2010;Mumbai;SaaS;E-commerce for corner/retail stores.;Sachin Chhabra, Nidhi Ramachandran;CESC Ventures;42.23,0;Series C, D
15;Vivriti Capital;01/03/2020;2017;Chennai;Fintech;Digital lending startup;Gaurav Kumar, Vineet Sukumar;LGT Lightstone Aspada;$50,000,000;Series B
16;Agnikul;01/03/2020;;Chennai;Spacetech;It designs, fabricates, tests and launch orbital class launch vehicles;Srinath Ravichandran;pi Ventures;$3,148,000;Pre Series A
