,Startup Name,Founder(s),Funding Year,Funding Month,Funding Day,Founding Date,Industry/Vertical,Funding Date,Sub-Vertical,City,Investor(s),Investment Amount (USD),Investment Type,Remarks
0,Lenskart,,2015,01,02,,Other,02/01/2015,,,"Tpg Growth, Tr Capital, Idg Ventures",2150000,Other,
1,Violetstreet,,2015,01,02,,Other,02/01/2015,,,"Venkat Vallabhneni, Sudhakar Reddy, Srinivasa Rao Paturi",315000,Early stage,
2,Lookup,,2015,01,05,,Other,05/01/2015,,,"Dena Co., Japan & Teruhide Sato (In Addition To Mks Switzerland & Kris Gopalkrishnan)",380000,Early stage,
3,#Fame,,2015,01,05,,Other,05/01/2015,,,To The New Ventures,10000000,Other,
4,Gympik,,2015,01,05,,Other,05/01/2015,,,"Tom Clausen, Rohan Ajila, Haldyn Glass",135000,Early stage,
5,Near.In,,2015,01,06,,Other,06/01/2015,,,"Anupam Mittal, Manish Vij, Prashant Tandon, Gaurav Agarwal, Akash Agarwal, Himanshu Aggarwal, Kevin Parikh",285000,Early stage,
6,Purplle.Com,,2015,01,06,,Other,06/01/2015,,,Ivycap Ventures,0,,
7,Numbermall,,2015,01,06,,Other,06/01/2015,,,Sri Capital,10000000,Other,
8,Tookitaki,,2015,01,06,,Other,06/01/2015,,,"Jungle Ventures, Redbright Partners, Blume Ventures",1000000,Other,
9,Frankly,,2015,01,06,,Other,06/01/2015,,,Matrix Partners,600000,Early stage,
10,Faircent,,2015,01,07,,Other,07/01/2015,,,"Devesh Sachdev, Ashish Tiwari",0,,Valuation at $4M
11,Nurturey,,2015,01,07,,Other,07/01/2015,,,Seedrs Crowd Funding Platform,0,,
12,Bewakoof,,2015,01,07,,Other,07/01/2015,,,"Rohit Bansal, Kunal Bahl, Nikhil Vora",0,,
13,Stridalyzer,,2015,01,07,,Other,07/01/2015,,,Kickstarter,30768,Other,
14,Commonfloor,,2015,01,07,,Other,07/01/2015,,,Google Capital,5000000,Other,3rd Round
15,Sokrati,,2015,01,09,,Other,09/01/2015,,,"Ivycap Ventures, Inventus Capital",0,,Series B
16,Yepme,,2015,01,09,,Other,09/01/2015,,,"Js Capital, Helion Venture Partners, Capricorn Investment Group",13000000,Other,Series A
17,Tapcibo,,2015,01,09,,Other,09/01/2015,,,Alok Goel,0,,
18,Verayu,,2015,01,12,,Other,12/01/2015,,,"Gwb Group, Blume Ventures",0,,
19,Mydreamstore,,2015,01,12,,Other,12/01/2015,,,Undisclosed Investors,290000,Early stage,
20,Appvirality,,2015,01,13,,Other,13/01/2015,,,"Rajan Anandan, Mike Galgon, Ashim Mehra, Mohit Saxena, Ravi Gururaj, Tnn Capital & Iig",0,,
21,Wishberry,,2015,01,15,,Other,15/01/2015,,,"Rajan Anandan, Shankar Mahadevan, Deep Kalra & Others",650000,Early stage,
22,Ekincare,,2015,01,16,,Other,16/01/2015,,,Adroitent Pvt. Ltd.,161000,Early stage,
23,Shopclues,,2015,01,18,,Other,18/01/2015,,,Tiger Global & Other Investors,0,,More Details
24,Refiral,,2015,01,19,,Other,19/01/2015,,,Cogent E Services,330000,Early stage,
25,Ping Digital,,2015,01,19,,Other,19/01/2015,,,Consortium Of Angel Investors,0,,
26,Healthyworld.In,,2015,01,19,,Other,19/01/2015,,,Group Of Angel Investors,200000,Early stage,
27,Hostel Dunia,,2015,01,19,,Other,19/01/2015,,,Hyderabad Angels (At Startup Heroes Event),16000,Early stage,
28,Play Your Sport,,2015,01,19,,Other,19/01/2015,,,Hyderabad Angels (At Startup Heroes Event),16000,Early stage,
29,Yo Grad,,2015,01,19,,Other,19/01/2015,,,Hyderabad Angels (At Startup Heroes Event),16000,Early stage,
30,Enabli,,2015,01,19,,Other,19/01/2015,,,Hyderabad Angels (At Startup Heroes Event),16000,Early stage,
31,Cbs,,2015,01,19,,Other,19/01/2015,,,Hyderabad Angels (At Startup Heroes Event),16000,Early stage,
