,Startup Name,Founding Date,Founder(s),Founder Gender,Industry/Vertical,City,Investor(s),Funding Date,Investment Type,Investment Amount (USD),Yearly GDP (% Growth),Unicorn Company,Valuation (B USD)
0,Lenskart,2008.0,,,Other,,"Tpg Growth, Tr Capital, Idg Ventures",02/01/2015,Other,2150000,8.0,Yes,4.5
1,Violetstreet,,,,Other,,"Venkat Vallabhneni, Sudhakar Reddy, Srinivasa Rao Paturi",02/01/2015,Early stage,315000,8.0,,
2,Lookup,,,,Other,,"Dena Co., Japan & Teruhide Sato (In Addition To Mks Switzerland & Kris Gopalkrishnan)",05/01/2015,Early stage,380000,8.0,,
3,#Fame,,,,Other,,To The New Ventures,05/01/2015,Other,10000000,8.0,,
4,Gympik,,,,Other,,"Tom Clausen, Rohan Ajila, Haldyn Glass",05/01/2015,Early stage,135000,8.0,,
5,Near.In,,,,Other,,"Anupam Mittal, Manish Vij, Prashant Tandon, Gaurav Agarwal, Akash Agarwal, Himanshu Aggarwal, Kevin Parikh",06/01/2015,Early stage,285000,8.0,,
6,Purplle.Com,,,,Other,,Ivycap Ventures,06/01/2015,,0,8.0,,
7,Numbermall,,,,Other,,Sri Capital,06/01/2015,Other,10000000,8.0,,
8,Tookitaki,,,,Other,,"Jungle Ventures, Redbright Partners, Blume Ventures",06/01/2015,Other,1000000,8.0,,
9,Frankly,,,,Other,,Matrix Partners,06/01/2015,Early stage,600000,8.0,,
10,Faircent,,,,Other,,"Devesh Sachdev, Ashish Tiwari",07/01/2015,,0,8.0,,
11,Nurturey,,,,Other,,Seedrs Crowd Funding Platform,07/01/2015,,0,8.0,,
12,Bewakoof,2012.0,,,Other,,"Rohit Bansal, Kunal Bahl, Nikhil Vora",07/01/2015,,0,8.0,,
13,Stridalyzer,,,,Other,,Kickstarter,07/01/2015,Other,30768,8.0,,
14,Commonfloor,,,,Other,,Google Capital,07/01/2015,Other,5000000,8.0,,
15,Sokrati,,,,Other,,"Ivycap Ventures, Inventus Capital",09/01/2015,,0,8.0,,
16,Yepme,,,,Other,,"Js Capital, Helion Venture Partners, Capricorn Investment Group",09/01/2015,Other,13000000,8.0,,
17,Tapcibo,,,,Other,,Alok Goel,09/01/2015,,0,8.0,,
18,Verayu,,,,Other,,"Gwb Group, Blume Ventures",12/01/2015,,0,8.0,,
19,Mydreamstore,,,,Other,,Undisclosed Investors,12/01/2015,Early stage,290000,8.0,,
20,Appvirality,,,,Other,,"Rajan Anandan, Mike Galgon, Ashim Mehra, Mohit Saxena, Ravi Gururaj, Tnn Capital & Iig",13/01/2015,,0,8.0,,
21,Wishberry,,,,Other,,"Rajan Anandan, Shankar Mahadevan, Deep Kalra & Others",15/01/2015,Early stage,650000,8.0,,
22,Ekincare,,,,Other,,Adroitent Pvt. Ltd.,16/01/2015,Early stage,161000,8.0,,
23,Shopclues,,,,Other,,Tiger Global & Other Investors,18/01/2015,,0,8.0,,
24,Refiral,,,,Other,,Cogent E Services,19/01/2015,Early stage,330000,8.0,,
25,Ping Digital,,,,Other,,Consortium Of Angel Investors,19/01/2015,,0,8.0,,
