;Industry/Vertical
0;Other
1;Other
2;Other
3;Other
4;Other
5;Other
6;Other
7;Other
8;Other
9;Other
10;Other
11;Other
12;Other
13;Other
14;Other
15;Other
16;Other
17;Other
18;Other
19;Other
20;Other
21;Other
22;Other
23;Other
24;Other
25;Other
26;Other
27;Other
28;Other
29;Other
30;Other
31;Other
32;Other
33;Other
34;Other
35;Other
36;Other
37;Other
38;Other
39;Other
40;Other
41;Other
42;Other
43;Other
44;Other
45;Other
46;Other
47;Other
48;Other
49;Other
50;Other
51;Other
52;Other
53;Other
54;Other
55;Other
56;Other
57;Other
58;Other
59;Other
60;Other
61;Other
62;Other
63;Other
64;Other
65;Other
66;Other
67;Other
68;Other
69;Other
70;Other
71;Other
72;Other
73;Other
74;Other
75;Other
76;Other
77;Other
78;Other
79;Other
80;Other
81;Other
82;Other
83;Other
84;Other
85;Other
86;Other
87;Other
88;Other
89;Other
90;Other
91;Other
92;Other
93;Other
94;Other
95;Other
96;Other
97;Other
98;Other
99;Other
100;Other
101;Other
102;Other
103;Other
104;Other
105;Other
106;Other
107;Other
108;Other
109;Other
110;Other
111;Other
112;Other
113;Other
114;Other
115;Other
116;Other
117;Other
118;Other
119;Other
120;Other
121;Other
122;Other
123;Other
124;Other
125;Other
126;Other
127;Other
128;Other
129;Other
130;Other
131;Other
132;Other
133;Other
134;Other
135;Other
136;Other
137;Other
138;Other
139;Other
140;Other
141;Other
142;Other
143;Other
144;Other
145;Other
146;Other
147;Other
148;Other
149;Other
150;Other
151;Other
152;Other
153;Other
154;Other
155;Other
156;Other
157;Other
158;Other
159;Other
160;Other
161;Other
162;Other
163;Other
164;Other
165;SaaS
166;SaaS
167;SaaS
168;Entertainment
169;SaaS
170;SaaS
171;Entertainment
172;Logistics & Supply Chain
173;E-commerce
174;SaaS
175;Transportation
176;Other
177;Food & Beverages
178;SaaS
179;SaaS
180;EdTech
181;Platforms & Social Media
182;SaaS
183;Platforms & Social Media
184;SaaS
185;EdTech
186;SaaS
187;SaaS
188;SaaS
189;SaaS
190;SaaS
191;SaaS
192;Marketplace
193;SaaS
194;SaaS
195;SaaS
196;SaaS
197;Other
198;SaaS
199;SaaS
200;SaaS
201;Marketplace
202;Fashion
203;Consulting
204;SaaS
205;E-commerce
206;Marketplace
207;SaaS
208;Logistics & Supply Chain
209;SaaS
210;SaaS
211;SaaS
212;Platforms & Social Media
213;Logistics & Supply Chain
214;EdTech
215;IT
216;Platforms & Social Media
217;SaaS
218;IT
219;E-commerce
220;Other
221;IT
222;Platforms & Social Media
223;SaaS
224;Fintech
225;Platforms & Social Media
226;Marketplace
227;SaaS
228;Platforms & Social Media
229;SaaS
230;Marketplace
231;SaaS
232;EdTech
233;Automotive
234;Real Estate
235;Platforms & Social Media
236;Platforms & Social Media
237;Logistics & Supply Chain
238;SaaS
239;IT
240;SaaS
241;EdTech
242;EdTech
243;SaaS
244;EdTech
245;Platforms & Social Media
246;SaaS
247;SaaS
248;SaaS
249;SaaS
250;EdTech
251;SaaS
252;Consulting
253;SaaS
254;E-commerce
255;SaaS
256;SaaS
257;SaaS
258;Platforms & Social Media
259;Food & Beverages
260;SaaS
261;SaaS
262;Platforms & Social Media
263;SaaS
264;Marketplace
265;Logistics & Supply Chain
266;Other
267;SaaS
268;Energy
269;Other
270;Other
271;Platforms & Social Media
272;SaaS
273;SaaS
274;SaaS
275;IT
276;SaaS
277;Marketplace
278;Consulting
279;SaaS
280;Platforms & Social Media
281;SaaS
282;Logistics & Supply Chain
283;Logistics & Supply Chain
284;Automotive
285;SaaS
286;Transportation
287;Platforms & Social Media
288;Food & Beverages
289;Marketplace
290;Platforms & Social Media
291;SaaS
292;Marketplace
293;SaaS
294;IT
295;Consulting
296;Consulting
297;Health & Fitness
298;Health & Fitness
299;IT
300;Platforms & Social Media
301;SaaS
302;Platforms & Social Media
303;SaaS
304;Platforms & Social Media
305;Marketplace
306;Marketplace
307;Logistics & Supply Chain
308;SaaS
309;Platforms & Social Media
310;Energy
311;Health & Fitness
312;SaaS
313;Marketplace
314;Energy
315;E-commerce
316;SaaS
317;Platforms & Social Media
318;SaaS
319;Consulting
320;SaaS
321;Fashion
322;SaaS
323;Platforms & Social Media
324;Health & Fitness
325;Fashion
326;Platforms & Social Media
327;Logistics & Supply Chain
328;SaaS
329;SaaS
330;Platforms & Social Media
331;Platforms & Social Media
332;Platforms & Social Media
333;Health & Fitness
334;Logistics & Supply Chain
335;Other
336;Consulting
337;SaaS
338;EdTech
339;Marketplace
340;Platforms & Social Media
341;Platforms & Social Media
342;Platforms & Social Media
343;Platforms & Social Media
344;Consulting
345;Other
